Lululemon,LULU, 200.01, 201.22, 2020/01/01,
Lululemon,LULU, 201.22, 202.12, 2020/01/02,
Lululemon,LULU, 202.12, 200.01, 2020/01/03,
Lululemon,LULU, 200.01, 206.56, 2020/01/04,
Lululemon,LULU, 206.56, 204.37, 2020/01/05,
Lululemon,LULU, 204.37, 208.12, 2020/01/06,
Lululemon,LULU, 205.06, 212.22, 2020/01/07,
Lululemon,LULU, 212.22, 219.12, 2020/01/08,
Lululemon,LULU, 219.12, 219.12, 2020/01/09,
Lululemon,LULU, 200.01, 206.56, 2020/01/10,
Lululemon,LULU, 206.56, 204.37, 2020/01/11,
Lululemon,LULU, 204.37, 208.12, 2020/01/12,
Lululemon,LULU, 200.01, 206.56, 2020/01/13,
Lululemon,LULU, 206.56, 204.37, 2020/01/14,
Lululemon,LULU, 204.37, 208.12, 2020/01/15,
